Author,variable,group_id,Layer,Temperature,mean,sd,n,se
Gentsch,mg CO2 per g soil C,PF_D5_LG_5C,Permafrost,5,23.27586207,22.39720872,3,12.93103448
Gentsch,mg CO2 per g soil C,PF_D5_LG_15C,Permafrost,15,25.86206897,13.43832523,3,7.75862069
Gentsch,mg CO2 per g soil C,PF_D5_CH_5C,Permafrost,5,43.96551724,35.83553395,3,20.68965517
Gentsch,mg CO2 per g soil C,PF_D5_CH_15C,Permafrost,15,67.24137931,53.75330092,3,31.03448276
Jiang,Cumulative CO2 mg C per kg Soil,AL_D1_5C,Active_Layer,5,296.460177,61.94690265,4,30.97345133
Jiang,Cumulative CO2 mg C per kg Soil,AL_D1_15C,Active_Layer,15,982.300885,230.0884956,4,115.0442478
Jiang,Cumulative CO2 mg C per kg Soil,AL_D2_5C,Active_Layer,5,247.7876106,53.09734513,4,26.54867257
Jiang,Cumulative CO2 mg C per kg Soil,AL_D2_15C,Active_Layer,15,699.11504420000006,203.539823,4,101.7699115
Jiang,Cumulative CO2 mg C per kg Soil,AL_D3_5C,Active_Layer,5,176.9911504,44.24778761,4,22.12389381
Jiang,Cumulative CO2 mg C per kg Soil,AL_D3_15C,Active_Layer,15,362.8318584,61.94690265,4,30.97345133
Jiang,Cumulative CO2 mg C per kg Soil,PF_D4_5C,Permafrost,5,207.9646018,44.24778761,4,22.12389381
Jiang,Cumulative CO2 mg C per kg Soil,PF_D4_15C,Permafrost,15,473.4513274,44.24778761,4,22.12389381
Jiang,Cumulative CO2 mg C per kg Soil,PF_D5_5C,Permafrost,5,141.5929204,53.09734513,4,26.54867257
Jiang,Cumulative CO2 mg C per kg Soil,PF_D5_15C,Permafrost,15,274.3362832,35.39823009,4,17.69911504
Jiang,Cumulative CO2 mg C per kg Soil,PF_D6_5C,Permafrost,5,146.0176991,8.849557522,4,4.424778761
Jiang,Cumulative CO2 mg C per kg Soil,PF_D6_15C,Permafrost,15,238.9380531,44.24778761,4,22.12389381
Jiang,Cumulative CO2 mg C per kg Soil,PF_D7_5C,Permafrost,5,185.840708,26.54867257,4,13.27433628
Jiang,Cumulative CO2 mg C per kg Soil,PF_D7_15C,Permafrost,15,362.8318584,17.69911504,4,8.849557522
Jiang,Cumulative CO2 mg C per kg Soil,PF_D8_5C,Permafrost,5,141.5929204,35.39823009,4,17.69911504
Jiang,Cumulative CO2 mg C per kg Soil,PF_D8_15C,Permafrost,15,278.7610619,35.39823009,4,17.69911504
Dutta,CO2 flux mg /g dry soil * d,SUK_PF_5C,Permafrost,5,0.043703704,0.014358038,3,0.00214037
Dutta,CO2 flux mg /g dry soil * d,ZEL_D1_AL_5C,Active_Layer,5,0.058765432,0.019889301,3,0.002964922
Dutta,CO2 flux mg /g dry soil * d,ZEL_D3_PF_5C,Permafrost,5,0.083703704,0.021947151,3,0.003271688
Dutta,CO2 flux mg /g dry soil * d,ZEL_D2_PF_5C,Permafrost,5,0.161975309,0.033258784,3,0.004957927
Dutta,CO2 flux mg /g dry soil * d,MED_PF_5C,Permafrost,5,0.242222222,0.087665747,3,0.013068438
Dutta,CO2 flux mg /g dry soil * d,DUV_PF_5C,Permafrost,5,0.062962963,0.019895868,3,0.002965901
Dutta,CO2 flux mg /g dry soil * d,SUK_PF_10C,Permafrost,10,0.077814208,0.017978059,3,0.002680011
Dutta,CO2 flux mg /g dry soil * d,ZEL_D1_AL_10C,Active_Layer,10,0.096612022,0.018788372,3,0.002800805
Dutta,CO2 flux mg /g dry soil * d,ZEL_D3_PF_10C,Permafrost,10,0.123060109,0.019072302,3,0.002843131
Dutta,CO2 flux mg /g dry soil * d,DUV_PF_10C,Permafrost,10,0.193005464,0.047752363,3,0.007118502
Dutta,CO2 flux mg /g dry soil * d,ZEL_D2_PF_10C,Permafrost,10,0.217704918,0.033477504,3,0.004990532
Dutta,CO2 flux mg /g dry soil * d,MED_PF_10C,Permafrost,10,0.267759563,0.06771296,3,0.010094052
Dutta,CO2 flux mg /g dry soil * d,SUK_PF_15C,Permafrost,15,0.078158205,0.021447746,3,0.003197241
Dutta,CO2 flux mg /g dry soil * d,DUV_PF_15C,Permafrost,15,0.101770956,0.03916137,3,0.005837832
Dutta,CO2 flux mg /g dry soil * d,ZEL_D1_AL_15C,Active_Layer,15,0.127508855,0.04866642,3,0.007254762
Dutta,CO2 flux mg /g dry soil * d,ZEL_D3_PF_15C,Permafrost,15,0.183234947,0.049267278,3,0.007344332
Dutta,CO2 flux mg /g dry soil * d,ZEL_D2_PF_15C,Permafrost,15,0.294923259,0.082702368,3,0.012328541
Dutta,CO2 flux mg /g dry soil * d,MED_PF_15C,Permafrost,15,0.435182999,0.143982654,3,0.021463667
Treat,mg CO2 per g C,AL_High,Active_Layer,20,12.44851259,3.106739176,8,1.098398169
Treat,mg CO2 per g C,AL_Low,Active_Layer,-0.5,14.09610984,5.048451161,8,1.784897025
Treat,mg CO2 per g C,PF_High,Permafrost,20,7.09382151,3.106739176,8,1.098398169
Treat,mg CO2 per g C,PF_Low,Permafrost,-0.5,7.688787185,2.718396779,8,0.961098398
Roy Chowdhury,CO2 Conc. (umol / g),Organic_-2C,Active_Layer,-2,108.2599581,68.93276318,3,10.27588962
Roy Chowdhury,CO2 Conc. (umol / g),Organic_4C,Active_Layer,4,161.4255765,66.48616271,3,9.911171958
Roy Chowdhury,CO2 Conc. (umol / g),Organic_8C,Active_Layer,8,219.4549266,80.50155359,3,12.00046308
Roy Chowdhury,CO2 Conc. (umol / g),Mineral_-2C,Active_Layer,-2,4.320276498,1.477246205,3,0.220214862
Roy Chowdhury,CO2 Conc. (umol / g),Mineral_4C,Active_Layer,4,9.048387097,4.25175768,3,0.633814613
Roy Chowdhury,CO2 Conc. (umol / g),Mineral_8C,Active_Layer,8,12.90967742,6.106619218,3,0.910321046
Roy Chowdhury,CO2 Conc. (umol / g),Perm_-2C,Permafrost,-2,2.149431818,0.960222364,3,0.167153258
Roy Chowdhury,CO2 Conc. (umol / g),Perm_4C,Permafrost,4,2.769886364,0.862870474,3,0.150206469
Roy Chowdhury,CO2 Conc. (umol / g),Perm_8C,Permafrost,8,3.434659091,1.145648573,3,0.199431818
Roy Chowdhury,CO2 Conc. (umol / g),Organic2_-2C,Active_Layer,-2,29.03846154,17.3891867,3,2.784498363
Roy Chowdhury,CO2 Conc. (umol / g),Organic2_4C,Active_Layer,4,63.36538462,39.48689331,3,6.322963326
Roy Chowdhury,CO2 Conc. (umol / g),Organic2_8C,Active_Layer,8,98.55769231,61.29217543,3,9.814602895
Roy Chowdhury,CO2 Conc. (umol / g),Mineral2_-2C,Active_Layer,-2,1.425126598,0.452399247,3,0.072441856
