Rowname,Author,Year,Site_Description,Soil_Description,Vegetation,Thaw_Age,Thaw_Feature,Depth,Compound,Oxygen,Temperature_C,Time_d,Replicate,Cumulative_mgC_per_gSoil,Moisture,Rate_mgC_per_gSoil_day,Data_Source,Sample_Num
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D161_R2,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,161,R2,0.00160814,Dry,9.99E-06,Raw,14
Monteaux_2020_Permafrost_CO2_Aerobic_11C_D161_R3,Monteaux,2020,Permafrost,,,,,Permafrost,CO2,Aerobic,11,161,R3,0.00179234,Dry,1.11E-05,Raw,15
Lee_2012_Itkillik1_CO2_Aerobic_15C_D500_R1,Lee,2012,Itkillik1,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,2.63,Dry,0.00526,Table,1
Lee_2012_Itkillik2_CO2_Aerobic_15C_D500_R1,Lee,2012,Itkillik2,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,3.42,Dry,0.00684,Table,2
Lee_2012_Sagavanirktok_CO2_Aerobic_15C_D500_R1,Lee,2012,Sagavanirktok,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,1.78,Dry,0.00356,Table,3
Lee_2012_EML-mMin_CO2_Aerobic_15C_D500_R1,Lee,2012,EML-mMin,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,2.88,Dry,0.00576,Table,4
Lee_2012_EML-mMod_CO2_Aerobic_15C_D500_R1,Lee,2012,EML-mMod,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,1.43,Dry,0.00286,Table,5
Lee_2012_EML-mExt_CO2_Aerobic_15C_D500_R1,Lee,2012,EML-mExt,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,2.87,Dry,0.00574,Table,6
Lee_2012_ToolikKarst_CO2_Aerobic_15C_D500_R1,Lee,2012,ToolikKarst,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,1.33,Dry,0.00266,Table,7
Lee_2012_Fox_CO2_Aerobic_15C_D500_R1,Lee,2012,Fox,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,1.07,Dry,0.00214,Table,8
Lee_2012_Siberia_CO2_Aerobic_15C_D500_R1,Lee,2012,Siberia,Mineral,,,,Permafrost,CO2,Aerobic,15,500,R1,1.66,Dry,0.00332,Table,9
Lee_2012_EML-oMin_CO2_Aerobic_15C_D500_R1,Lee,2012,EML-oMin,Organic,,,,Permafrost,CO2,Aerobic,15,500,R1,39.6,Dry,0.0792,Table,10
Lee_2012_EML-oMod_CO2_Aerobic_15C_D500_R1,Lee,2012,EML-oMod,Organic,,,,Permafrost,CO2,Aerobic,15,500,R1,45,Dry,0.09,Table,11
Lee_2012_EML-oExt_CO2_Aerobic_15C_D500_R1,Lee,2012,EML-oExt,Organic,,,,Permafrost,CO2,Aerobic,15,500,R1,71.89,Dry,0.14378,Table,12
Lee_2012_Itkillik1_CO2_Anaerobic_15C_D500_R1,Lee,2012,Itkillik1,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.46,Dry,0.00092,Table,13
Lee_2012_Itkillik2_CO2_Anaerobic_15C_D500_R1,Lee,2012,Itkillik2,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.42,Dry,0.00084,Table,14
Lee_2012_Sagavanirktok_CO2_Anaerobic_15C_D500_R1,Lee,2012,Sagavanirktok,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.21,Dry,0.00042,Table,15
Lee_2012_EML-mMin_CO2_Anaerobic_15C_D500_R1,Lee,2012,EML-mMin,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.5,Dry,0.001,Table,16
Lee_2012_EML-mMod_CO2_Anaerobic_15C_D500_R1,Lee,2012,EML-mMod,Mineral,,,,Permafrost,CO2,Anaerobic,15,500,R1,0.23,Dry,0.00046,Table,17
